id,valor,created_at
Encargados de la economía familiar,1,2022-01-01
Vida consolidada,2,2022-01-01
Adultos jóvenes en búsqueda de nuevas experiencias,3,2022-01-01
Vida consolidada,4,2022-01-01
Los que planean independizarse,5,2022-01-01
Los que buscan independizarse,6,2022-01-01
