id,valor,created_at
18-25,1,2022-01-01
25-30,2,2022-01-01
31-35,3,2022-01-01
36-40,4,2022-01-01
41-45,5,2022-01-01
46-50,6,2022-01-01
51-55,7,2022-01-01
56-60,8,2022-01-01
61-65,9,2022-01-01
66-70,10,2022-01-01
71-75,11,2022-01-01
Más de 75,12,2022-01-01
